face_shape,interocular_category,nose_category,hairstyle_suggestions,beard_suggestions
oblong,narrow,wide,"shorter top; fuller sides; side bangs; avoid heavy center fringe; balance wide nose with fullness","elongated beard; boxed chin style"
oblong,average,narrow,"shorter top; fuller sides; side bangs; softer textures","fuller sides; soft stubble"
oblong,average,average,"shorter top; fuller sides; side bangs; medium-length layers","fuller sides; avoid long pointy beards"
oblong,average,wide,"shorter top; fuller sides; side bangs; medium layers; balance wide nose","elongated boxed beard; fuller chin beard"
oblong,wide,narrow,"shorter top; fuller sides; center part possible; softer layers","short boxed beard; fuller mustache okay"
oblong,wide,average,"shorter top; fuller sides; side bangs; center part works","fuller sides; boxed beard; mustache fine"
oblong,wide,wide,"shorter top; fuller sides; side bangs; balance wide nose with jawline fullness","elongated chin beard; boxed beard; mustache balance"
heart,narrow,narrow,"soft layers around jaw; side-swept bangs; avoid heavy center fringe; softer textures","light stubble; soft boxed beard"
heart,narrow,average,"soft layers around jaw; side-swept bangs; avoid heavy center fringe","short boxed beard; stubble"
heart,narrow,wide,"soft layers around jaw; side-swept bangs; avoid heavy center fringe; balance wide nose","elongated chin beard; avoid thick mustache"
heart,average,narrow,"soft layers around jaw; side-swept bangs; softer textures","short boxed beard; light stubble"
heart,average,average,"soft layers around jaw; side-swept bangs; avoid height on top","light stubble; short boxed beard"
heart,average,wide,"soft layers around jaw; side-swept bangs; balance wide nose with longer layers","elongated chin beard; fuller boxed beard"
heart,wide,narrow,"soft layers around jaw; side-swept bangs; center part okay; softer layers","short boxed beard; fuller mustache okay"
heart,wide,average,"soft layers around jaw; side-swept bangs; center part okay","short boxed beard; mustache adds balance"
heart,wide,wide,"soft layers around jaw; side-swept bangs; balance wide nose with fullness","elongated beard; mustache balances wide-set eyes"
diamond,narrow,narrow,"chin-length styles; volume near jawline; side-part; avoid heavy center fringe; softer textures","soft stubble; short boxed beard"
diamond,narrow,average,"chin-length styles; volume near jawline; side-part; avoid heavy center fringe","short boxed beard; stubble"
diamond,narrow,wide,"chin-length styles; volume near jawline; side-part; avoid heavy center fringe; balance wide nose","elongated chin beard; boxed beard"
diamond,average,narrow,"chin-length styles; volume near jawline; side-part; softer textures","short boxed beard; soft stubble"
diamond,average,average,"chin-length styles; volume near jawline; side-parted layers","fuller chin beard; mustache helps balance"
diamond,average,wide,"chin-length styles; volume near jawline; side-part; balance wide nose with fullness","elongated chin beard; boxed beard + mustache"
diamond,wide,narrow,"chin-length styles; volume near jawline; center part okay; softer layers","short boxed beard; mustache okay"
diamond,wide,average,"chin-length styles; volume near jawline; side-part; center part works","fuller chin beard; mustache for balance"
diamond,wide,wide,"chin-length styles; volume near jawline; side-part; balance wide nose","elongated chin beard; fuller boxed beard; mustache balance"
triangle,narrow,narrow,"volume near temples; layered top; avoid heavy jawline volume; avoid heavy center fringe; softer textures","full beard with soft edges; light stubble"
triangle,narrow,average,"volume near temples; layered top; avoid heavy jawline volume; avoid heavy center fringe","full beard; short boxed style"
triangle,narrow,wide,"volume near temples; layered top; avoid jawline heaviness; avoid heavy center fringe; balance wide nose","elongated full beard; avoid thin mustache"
triangle,average,narrow,"volume near temples; layered top; avoid heavy jawline volume; softer textures","full beard; light stubble okay"
triangle,average,average,"volume near temples; layered top; avoid heavy jawline volume","full beard; avoid thin goatee"
triangle,average,wide,"volume near temples; layered top; avoid jawline heaviness; balance wide nose","elongated beard; fuller chin beard"
triangle,wide,narrow,"volume near temples; layered top; avoid heavy jawline volume; center part possible; softer textures","full beard; fuller mustache okay"
triangle,wide,average,"volume near temples; layered top; avoid heavy jawline volume; center part works","full beard; mustache adds balance"
triangle,wide,wide,"volume near temples; layered top; avoid jawline heaviness; balance wide nose","elongated full beard; boxed beard; mustache balance"
